peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
All products,Business value,1,Bissantz,,5.941363093,6.510717085,13,,1,
All products,Business value,1,Board,,5.941363093,5.937821542,20,,1,
All products,Business value,1,CALUMO,,5.941363093,4.637555842,29,,1,
All products,Business value,1,Cubeware,,5.941363093,5.197887956,26,,1,
All products,Business value,1,cubus,,5.941363093,6.9757853,9,,1,
All products,Business value,1,DigDash,,5.941363093,5.913959924,21,,1,
All products,Business value,1,Dimensional Insight,,5.941363093,7.46545623,7,,1,
All products,Business value,1,Dundas,,5.941363093,6.256979671,18,,1,
All products,Business value,1,Exago,,5.941363093,5.406905702,25,,1,
All products,Business value,1,IBM Cog. Analytics,,5.941363093,3.028319618,33,,1,
All products,Business value,1,IBM Plan. Analytics,,5.941363093,4.252003661,32,,1,
All products,Business value,1,Infor BI,,5.941363093,4.310568634,31,,1,
All products,Business value,1,Information Builders,,5.941363093,6.421307163,16,,1,
All products,Business value,1,Jedox,,5.941363093,6.267361194,17,,1,
All products,Business value,1,Logi Analytics,,5.941363093,6.635457902,12,,1,
All products,Business value,1,Longview Analytics,,5.941363093,7.827304578,5,,1,
All products,Business value,1,Looker,,5.941363093,7.80806401,6,,1,
All products,Business value,1,MS Excel,,5.941363093,2.623485938,34,,1,
All products,Business value,1,MS Power BI,,5.941363093,6.17445211,19,,1,
All products,Business value,1,MS SSRS,,5.941363093,4.420415827,30,,1,
All products,Business value,1,MicroStrategy,,5.941363093,5.164319922,27,,1,
All products,Business value,1,Oracle Analytics Server,,5.941363093,1.418579865,36,,1,
All products,Business value,1,Phocas,,5.941363093,9.861285932,1,,1,
All products,Business value,1,Pyramid A.OS,,5.941363093,8.393718747,4,,1,
All products,Business value,1,Qlik Sense,,5.941363093,6.464333425,14,,1,
All products,Business value,1,QlikView,,5.941363093,6.66607488,11,,1,
All products,Business value,1,Report One,,5.941363093,6.679136129,10,,1,
All products,Business value,1,ReportServer,,5.941363093,9.753659758,2,,1,
All products,Business value,1,SAP Analytics Cloud,,5.941363093,5.69546078,22,,1,
All products,Business value,1,SAP BO BI,,5.941363093,1.592949482,35,,1,
All products,Business value,1,SAS Platform,,5.941363093,4.747052986,28,,1,
All products,Business value,1,Sisense,,5.941363093,8.448626367,3,,1,
All products,Business value,1,Tableau,,5.941363093,5.614372087,24,,1,
All products,Business value,1,TARGIT,,5.941363093,6.427178429,15,,1,
All products,Business value,1,Yellowfin,,5.941363093,5.653424457,23,,1,
All products,Business value,1,Zoho Analytics,,5.941363093,7.237088221,8,,1,
All products,Business benefits,2,Bissantz,,5.860397701,6.824625714,10,,2,
All products,Business benefits,2,Board,,5.860397701,6.135397815,16,,2,
All products,Business benefits,2,CALUMO,,5.860397701,4.665552682,28,,2,
All products,Business benefits,2,Cubeware,,5.860397701,5.246890395,23,,2,
All products,Business benefits,2,cubus,,5.860397701,6.187323574,15,,2,
All products,Business benefits,2,DigDash,,5.860397701,5.445217944,21,,2,
All products,Business benefits,2,Dimensional Insight,,5.860397701,8.356666367,5,,2,
All products,Business benefits,2,Dundas,,5.860397701,5.960682911,17,,2,
All products,Business benefits,2,Exago,,5.860397701,5.048418607,27,,2,
All products,Business benefits,2,IBM Cog. Analytics,,5.860397701,3.710065472,32,,2,
All products,Business benefits,2,IBM Plan. Analytics,,5.860397701,4.416770605,30,,2,
All products,Business benefits,2,Infor BI,,5.860397701,3.691425456,33,,2,
All products,Business benefits,2,Information Builders,,5.860397701,7.064522718,9,,2,
All products,Business benefits,2,Jedox,,5.860397701,5.446666597,20,,2,
All products,Business benefits,2,Logi Analytics,,5.860397701,6.195400914,14,,2,
All products,Business benefits,2,Longview Analytics,,5.860397701,8.862269399,4,,2,
All products,Business benefits,2,Looker,,5.860397701,8.133962559,7,,2,
All products,Business benefits,2,MS Excel,,5.860397701,1.582319464,34,,2,
All products,Business benefits,2,MS Power BI,,5.860397701,5.72980524,18,,2,
All products,Business benefits,2,MS SSRS,,5.860397701,4.408693265,31,,2,
All products,Business benefits,2,MicroStrategy,,5.860397701,6.552742444,12,,2,
All products,Business benefits,2,Oracle Analytics Server,,5.860397701,1.446934552,35,,2,
All products,Business benefits,2,Phocas,,5.860397701,9.776691619,2,,2,
All products,Business benefits,2,Pyramid A.OS,,5.860397701,8.307207579,6,,2,
All products,Business benefits,2,Qlik Sense,,5.860397701,6.475112852,13,,2,
All products,Business benefits,2,QlikView,,5.860397701,7.173548591,8,,2,
All products,Business benefits,2,Report One,,5.860397701,5.14534669,26,,2,
All products,Business benefits,2,ReportServer,,5.860397701,10,1,,2,
All products,Business benefits,2,SAP Analytics Cloud,,5.860397701,5.175809801,25,,2,
All products,Business benefits,2,SAP BO BI,,5.860397701,1,36,,2,
All products,Business benefits,2,SAS Platform,,5.860397701,5.190717281,24,,2,
All products,Business benefits,2,Sisense,,5.860397701,9.348193418,3,,2,
All products,Business benefits,2,Tableau,,5.860397701,5.339202854,22,,2,
All products,Business benefits,2,TARGIT,,5.860397701,6.811945074,11,,2,
All products,Business benefits,2,Yellowfin,,5.860397701,4.628901751,29,,2,
All products,Business benefits,2,Zoho Analytics,,5.860397701,5.489285046,19,,2,
All products,Project success,3,Bissantz,,6.484171566,7.638610842,9,,2,
All products,Project success,3,Board,,6.484171566,5.957275346,25,,2,
All products,Project success,3,CALUMO,,6.484171566,5.378002779,30,,2,
All products,Project success,3,Cubeware,,6.484171566,6.0438186,24,,2,
All products,Project success,3,cubus,,6.484171566,9.782036308,2,,2,
All products,Project success,3,DigDash,,6.484171566,7.812218157,8,,2,
All products,Project success,3,Dimensional Insight,,6.484171566,7.380085328,12,,2,
All products,Project success,3,Dundas,,6.484171566,6.277352784,22,,2,
All products,Project success,3,Exago,,6.484171566,6.510422871,20,,2,
