Peer,vendor,KPI,value
All products,Bissantz,Business Benefits,8.12069938
All products,CALUMO,Business Benefits,9.385152284
All products,Cubeware,Business Benefits,3.686125212
All products,DigDash,Business Benefits,2.154665664
All products,Domo,Business Benefits,5.967026769
All products,Dundas,Business Benefits,7.253586405
All products,Entrinsik,Business Benefits,7.353637902
All products,IBM Cog. Analytics,Business Benefits,4.607062933
All products,IBM Plan. Analytics,Business Benefits,6.322899041
All products,Infor d/EPM,Business Benefits,5.777826823
All products,InfoZoom,Business Benefits,6.190261327
All products,Logi Analytics ,Business Benefits,4.255889626
All products,Looker,Business Benefits,9.785571451
All products,Microsoft Excel,Business Benefits,1
All products,Microsoft Power BI,Business Benefits,5.950577609
All products,MicroStrategy,Business Benefits,7.577364166
All products,Oracle Analytics Cloud,Business Benefits,6.310913706
All products,Phocas,Business Benefits,10
All products,Pyramid ,Business Benefits,9.490452018
All products,Qlik Sense,Business Benefits,7.054004512
All products,QlikView,Business Benefits,7.499194749
All products,Report One,Business Benefits,4.812746757
All products,SAP Analytics Cloud,Business Benefits,4.673002844
All products,SAP BO BI,Business Benefits,2.622745437
All products,SAS Platform,Business Benefits,3.14678511
All products,SAS Visual Analytics,Business Benefits,7.600193377
All products,Serviceware Perf.,Business Benefits,5.610829103
All products,Tableau,Business Benefits,5.440443867
All products,TARGIT,Business Benefits,8.978597085
All products,Zoho Analytics,Business Benefits,8.351945854
All products,Peer Group Average,Business Benefits,6.232673367
All products,Bissantz,Project Success,8.468038207
All products,CALUMO,Project Success,7.232229622
All products,Cubeware,Project Success,1.612024627
All products,DigDash,Project Success,7.983100661
All products,Domo,Project Success,5.672515884
All products,Dundas,Project Success,5.897869214
All products,Entrinsik,Project Success,9.169921497
All products,IBM Cog. Analytics,Project Success,1.882273471
All products,IBM Plan. Analytics,Project Success,6.528288024
All products,Infor d/EPM,Project Success,4.822645621
All products,InfoZoom,Project Success,10
All products,Logi Analytics ,Project Success,5.8463446
All products,Looker,Project Success,6.91623806
All products,Microsoft Excel,Project Success,2.087946842
All products,Microsoft Power BI,Project Success,5.302718589
All products,MicroStrategy,Project Success,4.599435313
All products,Oracle Analytics Cloud,Project Success,4.209680382
All products,Phocas,Project Success,8.939120395
All products,Pyramid ,Project Success,7.42684877
All products,Qlik Sense,Project Success,5.042521925
All products,QlikView,Project Success,5.594334231
All products,Report One,Project Success,7.27647738
All products,SAP Analytics Cloud,Project Success,4.516313099
All products,SAP BO BI,Project Success,3.571733308
All products,SAS Platform,Project Success,4.297575312
All products,SAS Visual Analytics,Project Success,1
All products,Serviceware Perf.,Project Success,9.665227774
All products,Tableau,Project Success,5.76539847
All products,TARGIT,Project Success,7.201812393
All products,Zoho Analytics,Project Success,2.848467822
All products,Peer Group Average,Project Success,5.71257005
All products,Bissantz,Project Length,5.835962145
All products,CALUMO,Project Length,6.751362202
All products,Cubeware,Project Length,2.490536278
All products,DigDash,Project Length,5.835962145
All products,Domo,Project Length,5.305993691
All products,Dundas,Project Length,5.835962145
All products,Entrinsik,Project Length,5.305993691
All products,IBM Cog. Analytics,Project Length,3.083545334
All products,IBM Plan. Analytics,Project Length,4.342414683
All products,Infor d/EPM,Project Length,3.716088328
