peer,KPI,sort,average,Product,Value,Rank,group,Hierarchy1,last,Code
All products,Business Value,1,6.347802378,Bissantz,7.192966068,10,1,,,
All products,Business Value,1,6.347802378,Domo,4.434602697,20,1,,,
All products,Business Value,1,6.347802378,Dundas,8.060666916,6,1,,,
All products,Business Value,1,6.347802378,Entrinsik,8.489675069,3,1,,,
All products,Business Value,1,6.347802378,IBM Cog. Analytics,2.725140532,24,1,,,
All products,Business Value,1,6.347802378,IBM Plan. Analytics,7.281392572,9,1,,,
All products,Business Value,1,6.347802378,InfoZoom,8.942907305,2,1,,,
All products,Business Value,1,6.347802378,Logi Analytics,7.092219297,11,1,,,
All products,Business Value,1,6.347802378,Looker,7.66019465,7,1,,,
All products,Business Value,1,6.347802378,Microsoft Excel,2.91603186,23,1,,,
All products,Business Value,1,6.347802378,Microsoft Power BI,4.740416218,18,1,,,
All products,Business Value,1,6.347802378,MicroStrategy,6.868556576,12,1,,,
All products,Business Value,1,6.347802378,Oracle Analytics Cloud,6.111521759,16,1,,,
All products,Business Value,1,6.347802378,Phocas,9.580411397,1,1,,,
All products,Business Value,1,6.347802378,Pyramid,6.837637597,13,1,,,
All products,Business Value,1,6.347802378,Qlik Sense,6.226407411,15,1,,,
All products,Business Value,1,6.347802378,QlikView,4.74553353,17,1,,,
All products,Business Value,1,6.347802378,Report One,6.684293764,14,1,,,
All products,Business Value,1,6.347802378,SAP Analytics Cloud,3.892258549,21,1,,,
All products,Business Value,1,6.347802378,SAP BO BI,3.062182262,22,1,,,
All products,Business Value,1,6.347802378,Serviceware Perf.,8.467385758,4,1,,,
All products,Business Value,1,6.347802378,Tableau,4.585958152,19,1,,,
All products,Business Value,1,6.347802378,TARGIT,8.332302266,5,1,,,
All products,Business Value,1,6.347802378,Zoho Analytics,7.41659487,8,1,,,
All products,Business Benefits,2,6.716006754,Bissantz,7.294579169,12,2,,,
All products,Business Benefits,2,6.716006754,Domo,5.297596622,18,2,,,
All products,Business Benefits,2,6.716006754,Dundas,9.949872415,2,2,,,
All products,Business Benefits,2,6.716006754,Entrinsik,8.344433087,9,2,,,
