Peer,KPI,vendor,value
Analysis Focus,Business Benefits,Bissantz,7.294579169
Analysis Focus,Business Benefits,IBM Plan. Analytics,8.403236138
Analysis Focus,Business Benefits,InfoZoom,7.88581461
Analysis Focus,Business Benefits,Microsoft Excel,1
Analysis Focus,Business Benefits,Qlik Sense,6.667829674
Analysis Focus,Business Benefits,Serviceware Perf.,8.696137921
Analysis Focus,Business Benefits,Tableau,4.50169353
Analysis Focus,Business Benefits,Peer Group Average,6.34989872
Analysis Focus,Project Success,Bissantz,8.16334524
Analysis Focus,Project Success,IBM Plan. Analytics,8.739323509
Analysis Focus,Project Success,InfoZoom,10
Analysis Focus,Project Success,Microsoft Excel,2.983727764
Analysis Focus,Project Success,Qlik Sense,5.379143742
Analysis Focus,Project Success,Serviceware Perf.,9.779406331
Analysis Focus,Project Success,Tableau,4.580046804
Analysis Focus,Project Success,Peer Group Average,7.08928477
Analysis Focus,Project Length,Bissantz,4.947368421
Analysis Focus,Project Length,IBM Plan. Analytics,1
Analysis Focus,Project Length,InfoZoom,10
Analysis Focus,Project Length,Microsoft Excel,8.528735632
Analysis Focus,Project Length,Qlik Sense,6.596667958
Analysis Focus,Project Length,Serviceware Perf.,5.157088123
Analysis Focus,Project Length,Tableau,4.850574713
Analysis Focus,Project Length,Peer Group Average,5.86863355
Analysis Focus,Business Value,Bissantz,7.192966068
Analysis Focus,Business Value,IBM Plan. Analytics,7.281392572
Analysis Focus,Business Value,InfoZoom,8.942907305
Analysis Focus,Business Value,Microsoft Excel,2.91603186
Analysis Focus,Business Value,Qlik Sense,6.226407411
Analysis Focus,Business Value,Serviceware Perf.,8.467385758
Analysis Focus,Business Value,Tableau,4.585958152
Analysis Focus,Business Value,Peer Group Average,6.516149875
Analysis Focus,Price to Value,Bissantz,5.93447828
Analysis Focus,Price to Value,IBM Plan. Analytics,5.579881657
Analysis Focus,Price to Value,InfoZoom,7.40454687
Analysis Focus,Price to Value,Microsoft Excel,6.911242604
Analysis Focus,Price to Value,Qlik Sense,5.615197758
Analysis Focus,Price to Value,Serviceware Perf.,7.816568047
Analysis Focus,Price to Value,Tableau,2.125443787
Analysis Focus,Price to Value,Peer Group Average,5.912479857
Analysis Focus,Recommendation,Bissantz,6.125847627
Analysis Focus,Recommendation,IBM Plan. Analytics,7.440366972
Analysis Focus,Recommendation,InfoZoom,8.959021407
Analysis Focus,Recommendation,Microsoft Excel,1
Analysis Focus,Recommendation,Qlik Sense,5.956556935
Analysis Focus,Recommendation,Serviceware Perf.,6.453337551
Analysis Focus,Recommendation,Tableau,2.126797207
Analysis Focus,Recommendation,Peer Group Average,5.437418243
Analysis Focus,Vendor Support,Bissantz,8.405928237
Analysis Focus,Vendor Support,IBM Plan. Analytics,3.469947525
Analysis Focus,Vendor Support,InfoZoom,8.925696456
Analysis Focus,Vendor Support,Microsoft Excel,1.651606864
Analysis Focus,Vendor Support,Qlik Sense,3.560588924
Analysis Focus,Vendor Support,Serviceware Perf.,9.045642969
Analysis Focus,Vendor Support,Tableau,4.316904202
Analysis Focus,Vendor Support,Peer Group Average,5.625187882
Analysis Focus,Implementer Support,Bissantz,7.521595598
Analysis Focus,Implementer Support,IBM Plan. Analytics,8.390646492
Analysis Focus,Implementer Support,InfoZoom,8.245804677
Analysis Focus,Implementer Support,Microsoft Excel,3.924690509
Analysis Focus,Implementer Support,Qlik Sense,4.528198074
Analysis Focus,Implementer Support,Serviceware Perf.,10
Analysis Focus,Implementer Support,Tableau,4.528198074
Analysis Focus,Implementer Support,Peer Group Average,6.734161918
Analysis Focus,Product Satisfaction,Bissantz,6.320974073
Analysis Focus,Product Satisfaction,IBM Plan. Analytics,8.493542421
Analysis Focus,Product Satisfaction,InfoZoom,9.813686026
Analysis Focus,Product Satisfaction,Microsoft Excel,2.409194388
Analysis Focus,Product Satisfaction,Qlik Sense,6.524879072
Analysis Focus,Product Satisfaction,Serviceware Perf.,6.23624358
Analysis Focus,Product Satisfaction,Tableau,5.85027968
Analysis Focus,Product Satisfaction,Peer Group Average,6.521257034
Analysis Focus,Customer Satisfaction,Bissantz,6.855424238
Analysis Focus,Customer Satisfaction,IBM Plan. Analytics,6.881648633
Analysis Focus,Customer Satisfaction,InfoZoom,8.65852808
Analysis Focus,Customer Satisfaction,Microsoft Excel,3.059846603
Analysis Focus,Customer Satisfaction,Qlik Sense,5.237966378
Analysis Focus,Customer Satisfaction,Serviceware Perf.,7.963076821
Analysis Focus,Customer Satisfaction,Tableau,3.712520098
Analysis Focus,Customer Satisfaction,Peer Group Average,6.052715836
Analysis Focus,Dashboards,Bissantz,7.527201545
Analysis Focus,Dashboards,IBM Plan. Analytics,5.458255285
Analysis Focus,Dashboards,InfoZoom,7.319603196
Analysis Focus,Dashboards,Microsoft Excel,1
Analysis Focus,Dashboards,Qlik Sense,8.806253679
Analysis Focus,Dashboards,Serviceware Perf.,5.721969494
Analysis Focus,Dashboards,Tableau,8.216660834
Analysis Focus,Dashboards,Peer Group Average,6.292849148
Analysis Focus,Distribution of Reports,Bissantz,8.174201616
Analysis Focus,Distribution of Reports,IBM Plan. Analytics,4.472800625
Analysis Focus,Distribution of Reports,InfoZoom,6.868204804
Analysis Focus,Distribution of Reports,Microsoft Excel,1
Analysis Focus,Distribution of Reports,Qlik Sense,3.92380531
Analysis Focus,Distribution of Reports,Serviceware Perf.,3.60840708
Analysis Focus,Distribution of Reports,Tableau,6.777180784
Analysis Focus,Distribution of Reports,Peer Group Average,4.974942888
Analysis Focus,Analyses & Ad Hoc Query,Bissantz,7.821052632
Analysis Focus,Analyses & Ad Hoc Query,IBM Plan. Analytics,8.773834586
Analysis Focus,Analyses & Ad Hoc Query,InfoZoom,9.821542228
Analysis Focus,Analyses & Ad Hoc Query,Microsoft Excel,4.227586207
Analysis Focus,Analyses & Ad Hoc Query,Qlik Sense,7.558373206
Analysis Focus,Analyses & Ad Hoc Query,Serviceware Perf.,9.634586466
Analysis Focus,Analyses & Ad Hoc Query,Tableau,6.22406015
Analysis Focus,Analyses & Ad Hoc Query,Peer Group Average,7.723005068
Analysis Focus,Advanced Analytics,Bissantz,6.788450983
Analysis Focus,Advanced Analytics,IBM Plan. Analytics,5.536745567
Analysis Focus,Advanced Analytics,Microsoft Excel,1.648811189
Analysis Focus,Advanced Analytics,Qlik Sense,5.618409884
Analysis Focus,Advanced Analytics,Serviceware Perf.,2.24267337
Analysis Focus,Advanced Analytics,Tableau,5.86939176
Analysis Focus,Advanced Analytics,Peer Group Average,4.617413792
Analysis Focus,Functionality,Bissantz,7.577726694
Analysis Focus,Functionality,IBM Plan. Analytics,6.060409016
Analysis Focus,Functionality,InfoZoom,8.003116743
Analysis Focus,Functionality,Microsoft Excel,1.969099349
Analysis Focus,Functionality,Qlik Sense,6.47671052
Analysis Focus,Functionality,Serviceware Perf.,5.301909103
Analysis Focus,Functionality,Tableau,6.771823382
Analysis Focus,Functionality,Peer Group Average,6.022970686
Analysis Focus,Self-Service,Bissantz,3.845370458
Analysis Focus,Self-Service,IBM Plan. Analytics,6.546371423
Analysis Focus,Self-Service,InfoZoom,9.363207814
Analysis Focus,Self-Service,Microsoft Excel,3.672665727
Analysis Focus,Self-Service,Qlik Sense,5.049883
Analysis Focus,Self-Service,Serviceware Perf.,6.015490664
Analysis Focus,Self-Service,Tableau,8.126843311
Analysis Focus,Self-Service,Peer Group Average,6.088547485
Analysis Focus,Ease of Use,Bissantz,5.555264608
Analysis Focus,Ease of Use,IBM Plan. Analytics,1.793466466
Analysis Focus,Ease of Use,InfoZoom,3.116847738
Analysis Focus,Ease of Use,Microsoft Excel,3.553948889
Analysis Focus,Ease of Use,Qlik Sense,6.149545709
Analysis Focus,Ease of Use,Serviceware Perf.,7.925911897
Analysis Focus,Ease of Use,Tableau,7.80916517
Analysis Focus,Ease of Use,Peer Group Average,5.129164354
Analysis Focus,Flexibility,Bissantz,4.940032699
Analysis Focus,Flexibility,IBM Plan. Analytics,10
Analysis Focus,Flexibility,InfoZoom,5.58403379
Analysis Focus,Flexibility,Microsoft Excel,6.661095182
Analysis Focus,Flexibility,Qlik Sense,4.539898358
Analysis Focus,Flexibility,Serviceware Perf.,8.371296979
Analysis Focus,Flexibility,Tableau,4.127514097
Analysis Focus,Flexibility,Peer Group Average,6.317695872
Analysis Focus,Query Performance,Bissantz,8.98458079
Analysis Focus,Query Performance,IBM Plan. Analytics,5.964917029
